index	en	ko
376	arrange	배열하다
377	auction	경매
378	bankrupt	파산한
379	belt	벨트
380	board	판자
381	brick	벽돌
382	cave	동굴
383	chemical	화학의
384	citizen	시민
385	collaborate	협력하다
386	concern	우려
387	discover	발견하다
388	damage	손상
389	diabetes	당뇨병
390	drug	약
391	elect	선택하다
392	excel	뛰어나다
393	false	거짓의
394	firm	단단한
395	fur	모피, 털
396	grateful	감사하는
397	harmony	조화
398	host	주인
399	ingredient	재료
400	item	물품
401	judge	판단하다
402	landscape	풍경
403	lid	뚜껑
404	loud	시끄러운
405	market	시장
406	medical	의료의
407	million	100만
408	mud	진흙
409	nest	둥지
410	object	물체
411	overall	전반적인
412	path	길
413	perhaps	아마도
414	pipe	파이프
415	policy	정책
416	pray	기도하다
417	produce	생산하다
418	protect	보호하다
419	rail	철도
420	recognize	인식하다
421	rent	임대하다
422	reveal	드러내다
423	root	뿌리
424	sail	돛, 항해하다
425	scratch	긁다, 긁히다
426	seek	찾다
427	several	몇몇의
428	shift	변화
429	similar	비슷한
430	slim	날씬한
431	soil	토양
432	specific	구체적인
433	spouse	배우자
434	stairs	계단
435	steep	가파른
436	strike	때리다, 치다
437	succeed	성공하다
438	survey	조사
439	tap	두드리기
440	tent	텐트
441	thirty	30
442	toe	발가락
443	tragic	비극적인
444	truth	진실, 사실
445	unless	모모하지 않는 한
446	verb	동사
447	visible	보이는
448	warn	경고하다
449	weather	모모인지 아닌지
450	witness	증인
451	after	~후에
452	way	방법
453	line	줄
454	still	여전히
455	careful	조심스러운
456	bring	가져오다, 데려오다
457	join	합류하다, 가입하다
458	again	다시
459	cheer	응원하다
460	control	통제하다, 조절하다
461	holiday	휴일, 휴가
462	favor	호의
463	spicy	매운
464	rude	무례한
465	even	조차
466	rush	서두르다
467	meal	식사
468	mop	걸레, 걸레로 닦다
469	straight	똑바른
470	what	무엇, 어떤 것
471	friendly	친근한
472	scenic	경치가 좋은
473	date	날짜
474	apply	신청하다, 지원하다
475	idea	생각, 아이디어
476	quit	그만두다, 중단하다
477	fair	공정한, 정당한
478	loved	사랑받는
479	nightmare	악몽
480	headache	두통
481	appointment	약속, 예약
482	subway	지하철
483	skirt	치마
484	swimsuit	수영복
485	promise	약속, 약속하다
486	hour	시간
487	jealous	질투하는
488	addict	중독자
489	confused	혼란스러운
490	head	머리
491	certain	확실한, 특정한
492	outcome	결과, 성과
493	indoors	실내에서
494	station	역
495	battery	배터리
496	terrific	훌륭한, 대단한
497	adorable	사랑스러운, 귀여운
498	misunderstanding	오해
499	important	중요한
500	bridge	다리
501	bandage	붕대
502	shade	그늘
503	tight	꽉 끼는
504	usual	평소의
505	button	단추
506	impatient	성급한, 참지 못하는
507	medicine	약, 약물
508	dusty	먼지 낀
509	sky	하늘
510	drop	떨어뜨리다
511	hesitate	망설이다, 주저하다
512	budget	예산
513	from	~로부터
514	eyesight	시력
515	smart	영리한, 스마트한
516	exit	출구
517	humorous	유머러스한
518	oil	기름
519	soft	부드러운, 연한
520	theater	극장
521	wife	아내
522	absent	결석한
523	admire	감탄하다, 존경하다
524	aim	목표를 두다, 목표
525	anniversary	기념일
526	arrest	체포하다
527	audience	청중, 관중
528	bar	밤, 막대기
529	bench	벤치
530	boil	끓이다
531	brilliant	명석한
532	ceiling	천장
533	chest	가슴
534	clap	박수치다
535	collapse	붕괴되다, 붕괴
536	concrete	구체적인, 콘크리트
537	crash	충돌하다
538	debate	논쟁하다, 토론
539	dialogue	대화
540	dynamic	역동적인, 활발한
541	electric	전기의
542	exchange	교환하다
543	fear	두려워하다, 두려움
544	flexible	유연한
545	gallery	갤러리
546	grocery	식료품점
547	harvest	수확하다
548	hug	안다
549	innovate	혁신하다
550	jail	감옥
551	junior	후배
552	senior	선배
553	lift	들어 올리다
554	loyal	충실한, 충직한
555	master	달인
556	medium	중간에
557	mineral	광물질, 무기물, 미네랄
558	muscle	근육
559	net	그물
560	odd	이상한
561	overcome	극복하다
562	patient	환자
563	period	기간
564	plain	명백한
565	pollute	오염시키다
566	pregnant	임신한
567	professor	교수
568	provide	제공하다
569	rare	드문
570	recommend	추천하다
571	repair	수리하다
572	revenge	복수
573	round	둥근
574	salad	샐러드
575	scream	비명을 지르다
576	seize	잡다, 붙잡다
577	severe	엄격한, 심각한
578	shine	빛나다
579	sin	죄
580	slope	경사
581	soldier	군인
582	spectrum	스펙트럼
583	spray	스프레이
584	stamp	우표, 도장
585	stem	줄기
586	string	끈
587	success	성공
588	survive	살아남다, 생존하다
589	target	목표, 대상
590	terminal	터미널
591	though	비록 ~일지라도
592	stroller	유모차
593	transfer	옮기다, 이전하다
594	tube	관, 튜브
595	until	~까지
596	version	버전
597	vision	시력, 시각
598	wave	파도, 손을 흔들다
599	which	어느 것
600	wool	털, 양털
601	well	잘, 좋은
602	yet	아직
603	golf	골프
604	single	단 하나의
605	word	단어, 말
606	police	경찰
607	sit	앉다
608	hand	손, 전달하다, 건네주다
609	great	훌륭한, 위대한
610	anger	분노, 화
611	miss	그리워하다
612	believe	믿다, 확신하다
613	nearby	근처의
614	shy	수줍은
615	about	~에 대하여
616	skip	건너뛰다, 스킵하다
617	enough	충분한, 충분히
618	front	앞, 정면, 앞쪽에, 전면에
619	dentist	치과의사
620	hang	매달다, 걸다
621	ticket	표
622	spell	철자를 쓰다
623	weather	날씨
624	appreciate	감사하다
625	solution	해결책
626	laundry	세탁물
627	true	진실한, 참된
628	queasy	속이 울렁거리는
629	traffic	교통
630	pollen	꽃가루
631	asthma	천식
632	beer	맥주
633	pants	바지
634	cash	현금, 현찰
635	rarely	드물게
636	alone	혼자
637	support	지원하다, 지지하다
638	height	높이, 키
639	disappointed	실망한
640	impressed	감명받은
641	mood	기분, 분위기
642	scared	겁먹은
643	mode	방식
644	depend	의지하다
645	sound	소리
646	arrive	도착하다
647	emergency	긴급 비상사태
648	imagination	상상력
649	left	왼쪽에
650	windy	바람이 많은
651	place	장소
652	shopping mall	쇼핑몰
653	cozy	아늑한
654	slip	미끄러지다
655	document	문서, 서류
656	energetic	에너지 넘치는
657	invite	초대하다
658	empty	비어 있는
659	clear	청소하다
660	tire	타이어
661	twin	쌍둥이
662	coincidence	우연의 일치
663	where	어디에, 어느 곳에
664	talent	재능, 소질
665	welcome	환영하다
666	field	분야, 들판
667	introduce	소개하다
668	pharmacy	약국
669	south	남쪽
670	thick	두꺼운
671	wipe	닦다, 씻다
672	academy	학원
673	admit	인정하다, 허가하다
674	alive	살아있는
675	announce	발표하다
676	article	기사
677	author	작가
678	beard	턱수염
679	bend	구부리다
680	bold	대담한
681	bush	덤불
682	celebrate	축하하다, 기념하다
683	chew	씹다
684	click	클릭하다
685	combine	결합하다, 합치다
686	confirm	확인하다, 인증하다
687	crawl	기어가다, 기어오르다
688	debt	빚
689	dictate	받아쓰게 하다
690	each	각각의
691	employ	고용하다
692	exhibit	전시하다, 전시
693	feed	먹이를 주다
694	float	뜨다, 떠다니다
695	gap	간격
696	grow	으르렁거리다
697	heel	뒤꿈치
698	huge	거대한, 막대한
699	input	입력, 입력하다
700	jam	잼
701	justice	정의, 공정
702	launch	시작하다, 출시하다
703	limit	제한
704	luxury	사치, 호화, 사치품
705	match	경기, 일치시키다
706	melt	녹다, 녹이다
707	magic	마술, 마법
708	mystery	미스터리
709	network	연결망, 네트워크
710	opera	오페라
711	pair	쌍
712	pattern	패턴, 무늬
713	permanent	연구적인, 지속적인
714	planet	행성
715	pond	연못
716	premium	최고급의, 특급의
717	profile	프로필
718	public	공공의, 대중의
719	rate	비율, 요금
720	record	기록
721	report	보고서
722	revise	수정하다
723	routine	일상
724	salary	월급 급여
725	screen	화면
726	select	선택하다, 고르다
727	sew	바느질하다
728	shoot	발사하다, 쏘다
729	since	이후로, ~한 이후
730	smoke	연기, 흡연
731	solid	고체의
732	speech	연설, 말, 언어
733	spring	봄
734	standard	표준, 기준
735	stick	막대, 가지
736	strip	가느다란 조각
737	such	그러한
738	swallow	삼키다
739	task	과업
740	terror	테러
741	thousand	천, 천개
742	tongue	혀
743	transform	변형시키다
744	tunnel	터널
745	update	업데이트
746	vertical	수직의
747	visual	시각의
748	wealth	재산 부
749	whisper	속삭이다
750	worship	예배하다
751	almost	거의 대부분
752	winter	겨울
753	book	예약하다
754	sure	확실한
755	confident	자신 있는
756	calm	차분한
757	start	시작하다, 출시하다
758	here	여기
759	year	해, 연
760	count	세다, 계산하다
761	send	보내다, 발송하다
762	destiny	운명
763	live	살다
764	silly	어리석은
765	lie	눕다, 거짓말하다
766	breakfast	아침식사
767	exactly	정확히
768	fresh	신선한
769	afternoon	오후
770	trip	여행
771	business	사업
772	taste	맛, 맛을 보다
773	health	건강
774	avoid	피하다
775	manage	관리하다, 처리하다
776	catch	잡다, 포착하다
777	trouble	문제, 고민
778	same	같은
779	accident	사고
780	question	질문, 문제
781	news	뉴스, 소식
782	bright	밝은
783	house	집, 주택
784	advice	조언, 충고
785	respect	존경, 존경하다
786	surprise	놀라게 하다
787	exercise	운동, 운동하다
788	allergic	알레르기가 있는
789	root	뿌리
790	middle	중간에, 중앙에
791	picky	까다로운
792	settle	정착하다
793	sweat	땀, 땀을 흘리다
794	sense	감각
795	bitter	쓴
796	dollar	달러
797	crispy	바삭한
798	unexpected	예상하지 못한
799	stock	쌓다, 비축하다
800	witty	재치 있는
801	begin	시작하다
802	barbecue	바비큐
803	coworker	동료
804	amazing	놀라운
805	probably	아마도
806	suit	정장
807	subscribe	구독하다
808	breeze	산들바람
809	disgusting	역겨운
810	flat	평평한
811	divorce	이혼
812	pity	동정, 연민
813	should	~해야 한다
814	exhausted	지친
815	coat	코트
816	fight	싸움
817	learn	배우다, 학습하다
818	polite	공손한
819	space	우주
820	thin	얇은
821	accelerate	가속하다
822	adolescent	청소년
823	allow	허락하다
824	annoy	짜증나게 하다
825	wise	현명한
826	artificial	인공적인
827	automatic	자동의
828	beast	짐승, 야수
829	benefit	이익, 혜택
830	bond	결속, 유대
831	calculate	계산하다
832	celebrity	유명인사
833	chief	지도자, 최고관리자
834	cliff	절벽
835	comfortable	편안한
836	connect	연결하다
837	create	창조하다, 만들다
838	delete	삭제하다, 제거하다
839	dig	파다
840	eager	간절한, 열렬한
841	enemy	적, 원수
842	experience	경험, 경험하다
843	fiction	소설, 허구
844	folk	일반적인 사람들, 민속의, 전통적인
845	gas	가스
846	guarantee	보증하다
847	highlight	강조하다
848	ignore	무시하다
849	insect	곤충, 벌레
850	jar	병, 항아리
851	knee	무릎
852	law	법
853	link	연결
854	machine	기계
855	mate	동료, 친구
856	member	구성원, 회원
857	ministry	부처
858	myth	신화, 전설
859	nod	고개를 끄덕끄덕하다
860	operate	운영하다, 수술하다
861	panic	공황
862	pause	중지
863	permit	허가, 허용
864	plastic	플라스틱
865	pool	수영장
866	prepare	준비하다
867	program	프로그램
868	publish	출판하다
869	raw	날것의
870	recover	회복하다, 되찾다
871	require	요구하다
872	reward	보상
873	row	열, 노를 젓다
874	sample	샘플
875	screw	나사, 나사못
876	language	언어
877	shade	그늘, 그림자
878	shoulder	어깨
879	sight	시력, 광경
880	smooth	매끈한
881	solve	해결하다, 풀다
882	spin	회전하다, 돌다
883	spy	스파이
884	stare	응시하다
885	stir	휘졌다, 저어석다
886	structure	구조, 체계
887	suggest	제안하다
888	swear	맹세하다
889	technique	기술
890	theme	주제, 테마
891	thread	실, 실가닥
892	two	2
893	translate	번역하다, 해석하다
894	ugly	못생긴
895	upwards	위로
896	veterinarian	수의사
897	vital	중요한
898	weapon	무기
899	whistle	휘파람
900	wound	상처
901	wrong	틀린
902	all right	괜찮은
903	kid	아이, 놀리다
904	free	자유로운, 무료의
905	quiet	조용한
906	borrow	빌리다
907	try	시도하다, 노력하다
908	pass	지나가다, 통과하다
909	ahead	앞으로, 미리
910	adult	성인
911	package	패키지
912	charger	충전기
913	need	필요하다
914	childish	어린아이 같은
915	force	힘 강요하다
916	while	~하는 동안
917	excellent	우수한
918	air	공기
919	job	직업
920	before	~전에
921	stand	서다, 일어서다
922	far	먼
923	hurry	서두르다
924	junk food	정크 푸드
925	afford	~할 여유가 있다
926	interrupt	방해하다
927	doze off	졸다
928	tired	피곤한 지친
929	bake	굽다
930	rash	발진
931	blood pressure	혈압
932	outgoing	외향적인
933	track	길, 추적하다
934	wait	기다리다
935	attention	주의
936	stock	재고, 주식
937	napkin	나프킨
938	introvert	내향적인 사람
939	extrovert	외향적인 사람
940	something	무언가 어떤 것
941	quite	꽤
942	chores	집안일
943	thirsty	목마른
944	matter	문제, 중요하다
945	sour	신맛이 나는
946	overwhelming	압도적인
947	dangerous	위험한
948	scene	장면
949	bargain	특가품
950	favorite	아주 좋아하는
951	build	짓다
952	picnic	소풍
953	messy	지저분한
954	pardon	실례합니다
955	trunk	트렁크
956	smile	미소
957	remind	상기시키다
958	refreshing	상쾌한
959	quality	품질
960	toilet	화장실
961	open	열다
962	tonight	오늘 밤
963	whose	누구의
964	once	한 번
965	zip up	지퍼를 올리다
966	funny	웃긴
967	lesson	수업
968	popular	인기 있는
969	speed	속도
970	throw	던지다
971	wish	바라다
972	accept	받아들이다
973	advance	전진
974	along	~을 따라
975	annual	매년의
976	asleep	잠든
977	average	평균
978	beauty	아름다움
979	beside	~옆에
980	boost	촉진하다
981	cancer	암
982	cell	세포
983	chin	턱
984	climate	기후
985	comic	만화
986	consider	고려하다
987	credit	신용
988	deliver	배달하다
989	disaster	재난
990	earn	벌다
991	envelope	봉투
992	experiment	실험
993	fierce	사나운
994	forgive	용서하다
995	gather	모으다
996	guilty	죄책감이 드는
997	highway	고속도로
998	image	이미지
999	insight	통찰력
1000	jaw	턱
1001	knock	두드리다
1002	leather	가죽
1003	liquid	액체
1004	magazine	잡지
1005	math	수학
1006	mental	정신의
1007	miracle	기적
1008	naked	벌거벗은
1009	normal	보통의
1010	opinion	의견
1011	parallel	평행한
1012	peak	정점
1013	persuade	설득하다
1014	platform	승강장
1015	portrait	초상화
1016	press	누르다
1017	progress	진보
1018	punish	처벌하다
1019	reach	도달하다
1020	recruit	채용하다
1021	rescue	구조하다
1022	risk	위험
1023	royal	왕실의
1024	sandwich	샌드위치
1025	sculpture	조각상
1026	sentence	문장
1027	shadow	그림자
1028	shut	닫다
1029	situation	상황
1030	sneak	몰래 가다
1031	sort	종류
1032	spirit	정신
1033	square	정사각형, 광장
1034	status	상태
1035	stitch	바늘땀
1036	struggle	투쟁하다
1037	summary	요약
1038	swing	흔들리다
1039	technology	기술
1040	then	그때
1041	thrill	전율
1042	tool	도구
1043	transport	운송하다
1044	uniform	유니폼
1045	urban	도시의
1046	via	~을 통하여
1047	vivid	생생한
1048	website	웹사이트
1049	ho	호 (감탄사)
1050	rap	랩
1051	plan	계획
1052	available	이용 가능한
1053	leave	떠나다
1054	today	오늘
1055	never	결코 ~않다
1056	menu	메뉴
1057	use	사용하다
1058	pick	고르다
1059	around	주위에
1060	email	이메일
1061	picture	사진
1062	hobby	취미
1063	remember	기억하다
1064	yourself	너 자신
1065	forget	잊다
1066	wait	기다리다
1067	excuse	변명, 실례하다
1068	rest	휴식
1069	luck	운
1070	abroad	해외에
1071	mine	나의 것
1072	together	함께
1073	ace	에이스
1074	right	오른쪽, 옳은
1075	handle	다루다
1076	recall	기억해 내다
1077	dizzy	어지러운
1078	lock	잠그다
1079	blister	물집
1080	simple	간단한
1081	hi	안녕
1082	people	사람들
1083	lose	잃다
1084	oversleep	늦잠 자다
1085	spill	엎지르다
1086	best	최선
1087	quickly	빨리
1088	blue	파란
1089	stressed	스트레스 받은
1090	history	역사
1091	diet	다이어트
1092	embarrassed	당황한
1093	gain	얻다
1094	happen	발생하다
1095	injury	부상
1096	chili	고추
1097	difficult	어려운
1098	scam	사기
1099	reasonable	합리적인
1100	moment	순간
1101	continue	계속하다
1102	hit	치다
1103	bone	뼈
1104	approach	접근하다
1105	shelf	선반
1106	reply	대답하다
1107	tip	팁
1108	competition	경쟁
1109	terrible	끔찍한
1110	flush	(변기 물을) 내리다
1111	frustrating	좌절감을 주는
1112	mean	의미하다
1113	why	왜
1114	helmet	헬멧
1115	area	지역
1116	furniture	가구
1117	meat	고기
1118	prescription	처방전
1119	spend	소비하다
1120	thumb	엄지손가락
1121	woman	여자
1122	achieve	달성하다
1123	advantage	장점
1124	allowed	허용된
1125	anxious	불안한
1126	assist	돕다
1127	award	상
1128	bag	가방
1129	bet	내기하다
1130	border	경계
1131	capital	자본, 수도
1132	challenge	도전
1133	chip	조각
1134	clinic	클리닉
1135	comment	논평
1136	contract	계약
1137	creep	살금살금 가다
1138	departure	출발
1139	donate	기부하다
1140	economy	경제
1141	envy	부러움
1142	expert	전문가
1143	file	파일
1144	fuel	연료
1145	gender	성별
1146	gum	잇몸
1147	hike	하이킹하다
1148	improve	개선하다
1149	instead	대신에
1150	jog	조깅하다
1151	knowledge	지식
1152	lecture	강의
1153	list	목록
1154	minimum	최소
1155	maximum	최대
1156	merit	장점
1157	mix	섞다
1158	native	원주민의
1159	notice	통지
1160	opportunity	기회
1161	passage	통로
1162	pee	소변을 보다
1163	physical	신체의
1164	plenty	풍부함
1165	post	게시물
1166	pretend	~인 척하다
1167	prompt	즉각적인
1168	pupil	학생, 눈동자
1169	react	반응하다
1170	reduce	줄이다
1171	research	연구
1172	roast	굽다
1173	rub	문지르다
1174	scale	규모, 저울
1175	seal	봉인하다
1176	separate	분리하다
1177	shake	흔들다
1178	sigh	한숨 쉬다
1179	skate	스케이트 타다
1180	sew	바느질하다
1181	soul	영혼
1182	splash	튀기다
1183	squeeze	짜내다
1184	steady	꾸준한
1185	stomach	위, 배
1186	studio	스튜디오
1187	superb	최고의
1188	switch	스위치
1189	teenage	십대의
1190	theory	이론
1191	throw	던지다
1192	topic	주제
1193	trap	덫
1194	unify	통합하다
1195	value	가치
1196	victim	희생자
1197	vocabulary	어휘
1198	weird	이상한
1199	wild	야생의
1200	yield	산출하다, 양보하다
1201	movie	영화
1202	awake	깨어 있는
1203	already	이미
1204	curious	궁금한
1205	bless	축복하다
1206	refund	환불
1207	watch	보다
1208	repeat	반복하다
1209	just	단지
1210	finish	끝내다
1211	understand	이해하다
1212	pet	애완동물
1213	password	비밀번호
1214	hard	어려운
1215	umbrella	우산
1216	waste	낭비하다
1217	fantastic	환상적인
1218	soon	곧
1219	test	시험
1220	visit	방문하다
1221	change	변화
1222	stay	머무르다
1223	exam	시험
1224	online	온라인의
1225	smell	냄새 맡다
1226	seafood	해산물
1227	travel	여행하다
1228	cheap	저렴한
1229	cavity	충치
1230	sore throat	목의 통증
1231	low	낮은
1232	stylish	멋진
1233	beef	소고기
1234	oh	오 (감탄사)
1235	teach myself	독학하다
1236	dish	접시, 요리
1237	show	보여주다
1238	beat	이기다, 치다
1239	another	또 다른
1240	interested	관심 있는
1241	duty	의무
1242	mess	엉망진창
1243	shape	모양
1244	review	검토
1245	minor	사소한
1246	chance	기회
1247	crazy	미친
1248	cotton	솜, 면
1249	tasty	맛있는
1250	gift	선물
1251	decorate	장식하다
1252	road	도로
1253	lips	입술
1254	perfect	완벽한
1255	regular	규칙적인
1256	nag	잔소리하다
1257	thank	감사하다
1258	tough	힘든
1259	sunglasses	선글라스
1260	heavy	무거운
1261	fly	날다
1262	grade	성적
1263	vacuum	진공청소기
1264	snore	코를 골다
1265	battle	전투
1266	gesture	몸짓
1267	memory	기억
1268	rotten	썩은
1269	story	이야기
1270	tired	피곤한, 지친
1271	world	세상
1272	acquire	습득하다
1273	adventure	모험
1274	although	~임에도 불구하고
1275	apart	떨어져서
1276	athlete	운동선수
1277	awful	끔찍한
1278	behave	행동하다
1279	beyond	~너머에
1280	bounce	튀어 오르다
1281	capture	포착하다
1282	channel	채널
1283	choir	합창단
1284	close	가까운
1285	communicate	의사소통하다
1286	copyright	저작권
1287	crew	선원, 팀
1288	independent	독립적인
1289	doubt	의심하다
1290	edit	편집하다
1291	equal	평등한
1292	explore	탐험하다
1293	film	영화
1294	function	기능
1295	general	일반적인
1296	gun	총
1297	hire	고용하다
1298	include	포함하다
1299	iron	다림질하다, 철
1300	joint	공동의, 관절
1301	lack	부족
1302	legal	법적인
1303	literature	문학
1304	main	주요한
1305	maybe	아마도
1306	metal	금속
1307	mobile	이동식의
1308	nature	자연
1309	novel	소설
1310	outline	개요
1311	passenger	승객
1312	penalty	벌금, 형벌
1313	pile	더미
1314	plot	줄거리
1315	pot	냄비
